Vuln_ID,Severity,Group_Title,Rule_ID,STIG_ID
V-38630,medium,SRG-OS-000029,SV-50431r3_rule,RHEL-06-000258
V-38631,medium,SRG-OS-000032,SV-50432r2_rule,RHEL-06-000148
V-38632,medium,SRG-OS-000037,SV-50433r2_rule,RHEL-06-000154
V-38633,medium,SRG-OS-999999,SV-50434r1_rule,RHEL-06-000160
V-38634,medium,SRG-OS-999999,SV-50435r2_rule,RHEL-06-000161
V-38636,medium,SRG-OS-999999,SV-50437r1_rule,RHEL-06-000159
V-38637,medium,SRG-OS-000278,SV-50438r2_rule,RHEL-06-000281
V-38638,medium,SRG-OS-000029,SV-50439r3_rule,RHEL-06-000259
V-38639,low,SRG-OS-000031,SV-50440r3_rule,RHEL-06-000260
V-38640,low,SRG-OS-000096,SV-50441r2_rule,RHEL-06-000261
V-38641,low,SRG-OS-000096,SV-50442r3_rule,RHEL-06-000262
V-38642,low,SRG-OS-999999,SV-50443r1_rule,RHEL-06-000346
V-38643,medium,SRG-OS-999999,SV-50444r3_rule,RHEL-06-000282
V-38644,low,SRG-OS-000096,SV-50445r2_rule,RHEL-06-000265
V-38645,low,SRG-OS-999999,SV-50446r1_rule,RHEL-06-000345
V-38646,low,SRG-OS-000096,SV-50447r2_rule,RHEL-06-000266
V-38647,low,SRG-OS-999999,SV-50448r1_rule,RHEL-06-000344
V-38648,low,SRG-OS-000096,SV-50449r2_rule,RHEL-06-000267
V-38649,low,SRG-OS-999999,SV-50450r1_rule,RHEL-06-000343
V-38650,low,SRG-OS-000096,SV-50451r2_rule,RHEL-06-000268
V-38651,low,SRG-OS-999999,SV-50452r1_rule,RHEL-06-000342
V-38652,medium,SRG-OS-999999,SV-50453r2_rule,RHEL-06-000269
V-38653,high,SRG-OS-999999,SV-50454r1_rule,RHEL-06-000341
V-38654,medium,SRG-OS-999999,SV-50455r2_rule,RHEL-06-000270
V-38655,low,SRG-OS-000035,SV-50456r1_rule,RHEL-06-000271
V-38656,low,SRG-OS-999999,SV-50457r1_rule,RHEL-06-000272
V-38657,low,SRG-OS-999999,SV-50458r2_rule,RHEL-06-000273
V-38658,medium,SRG-OS-000077,SV-50459r6_rule,RHEL-06-000274
V-38659,low,SRG-OS-000131,SV-50460r2_rule,RHEL-06-000275
V-38660,medium,SRG-OS-999999,SV-50461r1_rule,RHEL-06-000340
V-38661,low,SRG-OS-000185,SV-50462r2_rule,RHEL-06-000276
V-38662,low,SRG-OS-000230,SV-50463r2_rule,RHEL-06-000277
V-38663,medium,SRG-OS-000256,SV-50464r1_rule,RHEL-06-000278
V-38664,medium,SRG-OS-000257,SV-50465r1_rule,RHEL-06-000279
V-38665,medium,SRG-OS-000258,SV-50466r1_rule,RHEL-06-000280
V-38667,medium,SRG-OS-000196,SV-50468r3_rule,RHEL-06-000285
V-38668,high,SRG-OS-999999,SV-50469r4_rule,RHEL-06-000286
V-38669,low,SRG-OS-999999,SV-50470r1_rule,RHEL-06-000287
V-38670,medium,SRG-OS-000202,SV-50471r2_rule,RHEL-06-000306
V-38671,medium,SRG-OS-999999,SV-50472r1_rule,RHEL-06-000288
V-38672,low,SRG-OS-000096,SV-50473r2_rule,RHEL-06-000289
V-38673,medium,SRG-OS-000265,SV-50474r2_rule,RHEL-06-000307
V-38674,medium,SRG-OS-000248,SV-50475r1_rule,RHEL-06-000290
V-38675,low,SRG-OS-999999,SV-50476r2_rule,RHEL-06-000308
